label,message,label_num,message_length,processed_message
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",0,111,go jurong point crazy available bugis great world la buffet cine got amore wat
ham,Ok lar... Joking wif u oni...,0,29,ok lar joking wif oni
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,1,155,free entry 2 wkly comp win fa cup final tkts 21st may 2005 text fa 87121 receive entry question std txt rate apply 08452810075over18
ham,U dun say so early hor... U c already then say...,0,49,dun say early hor already say
ham,"Nah I don't think he goes to usf, he lives around here though",0,61,nah n't think goes usf lives around though
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",1,147,freemsg hey darling 3 week word back like fun still tb ok xxx std chgs send 1.50 rcv
ham,Even my brother is not like to speak with me. They treat me like aids patent.,0,77,even brother like speak treat like aids patent
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0,160,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press 9 copy friends callertune
spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,1,157,winner valued network customer selected receivea 900 prize reward claim call 09061701461 claim code kl341 valid 12 hours
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,1,154,mobile 11 months entitled update latest colour mobiles camera free call mobile update co free 08002986030
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",0,109,gon na home soon n't want talk stuff anymore tonight cried enough today
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",1,136,"six chances win cash 100 20,000 pounds txt csh11 send 87575 cost 150p/day 6days 16 tsandcs apply reply hl 4 info"
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",1,155,"urgent 1 week free membership 100,000 prize jackpot txt word claim 81010 www.dbuk.net lccltd pobox 4403ldnw1a7rw18"
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,0,196,searching right words thank breather promise wont take help granted fulfil promise wonderful blessing times
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,0,35,date sunday
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",1,149,xxxmobilemovieclub use credit click wap link next txt message click http wap xxxmobilemovieclub.com n=qjkgighjjgcbl
ham,Oh k...i'm watching here:),0,26,oh watching
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,0,81,eh remember 2 spell name yes naughty make wet
ham,Fine if thats the way u feel. Thats the way its gota b,0,56,fine thats way feel thats way gota
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",1,155,england macedonia dont miss goals/team news txt ur national team 87077 eg england 87077 try wales scotland 4txt/ú1.20 poboxox36504w45wq 16
ham,Is that seriously how you spell his name?,0,41,seriously spell name
ham,I‘m going to try for 2 months ha ha only joking,0,47,going try 2 months ha ha joking
ham,So ü pay first lar... Then when is da stock comin...,0,52,pay first lar da stock comin
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,0,88,aft finish lunch go str lor ard 3 smth lor finish ur lunch already
ham,Ffffffffff. Alright no way I can meet up with you sooner?,0,57,ffffffffff alright way meet sooner
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,0,144,forced eat slice really hungry tho sucks mark getting worried knows sick turn pizza lol
ham,Lol your always so convincing.,0,30,lol always convincing
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,0,134,catch bus frying egg make tea eating mom left dinner feel love
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",0,75,back amp packing car let know room
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,0,64,ahhh work vaguely remember feel like lol
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",0,130,wait still clear sure sarcastic n't want live us
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,0,189,yeah got 2 apologetic fallen actin like spoilt child got caught till 2 wo n't go badly cheers
ham,K tell me anything about you.,0,29,tell anything
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,0,84,fear fainting housework quick cuppa
spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,1,158,thanks subscription ringtone uk mobile charged 5/month please confirm replying yes reply charged
ham,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,0,122,yup ok go home look timings msg xuhui going learn 2nd may lesson 8am
ham,"Oops, I'll let you know when my roommate's done",0,47,oops let know roommate done
ham,I see the letter B on my car,0,28,see letter car
ham,Anything lor... U decide...,0,27,anything lor decide
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,0,155,hello saturday go texting see decided anything tomo trying invite anything
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,0,82,pls go ahead watts wanted sure great weekend abiola
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",0,142,forget tell want need crave love sweet arabian steed mmmmmm yummy
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,1,172,07732584351 rodger burns msg tried call reply sms free nokia mobile free camcorder please call 08000930705 delivery tomorrow
ham,WHO ARE YOU SEEING?,0,19,seeing
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,0,72,great hope like man well endowed lt gt inches
ham,No calls..messages..missed calls,0,32,calls messages missed calls
ham,Didn't you get hep b immunisation in nigeria.,0,45,n't get hep immunisation nigeria
ham,"Fair enough, anything going on?",0,31,fair enough anything going
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",0,67,yeah hopefully tyler ca n't could maybe ask around bit
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,0,148,n't know stubborn n't even want go hospital kept telling mark weak sucker hospitals weak suckers
ham,What you thinked about me. First time you saw me in class.,0,58,thinked first time saw class
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",0,124,gram usually runs like lt gt half eighth smarter though gets almost whole second gram lt gt
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,0,80,fyi ride early tomorrow morning crashing place tonight
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",0,289,wow never realized embarassed accomodations thought liked since best could always seemed happy cave sorry n't n't give sorry offered sorry room embarassing
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,1,120,sms ac sptv new jersey devils detroit red wings play ice hockey correct incorrect end reply end sptv
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,0,76,know mallika sherawat yesterday find lt url gt
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",1,161,congrats 1 year special cinema pass 2 call 09061209465 suprman matrix3 starwars3 etc 4 free bx420-ip4-5we 150pm dont miss
ham,"Sorry, I'll call later in meeting.",0,34,sorry call later meeting
ham,Tell where you reached,0,22,tell reached
ham,Yes..gauti and sehwag out of odi series.,0,40,yes gauti sehwag odi series
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,0,108,gon na pick 1 burger way home ca n't even move pain killing
ham,Ha ha ha good joke. Girls are situation seekers.,0,48,ha ha ha good joke girls situation seekers
ham,Its a part of checking IQ,0,25,part checking iq
ham,"Sorry my roommates took forever, it ok if I come by now?",0,56,sorry roommates took forever ok come
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,0,110,ok lar double check wif da hair dresser already said wun cut short said cut look nice
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",1,152,valued customer pleased advise following recent review mob awarded 1500 bonus prize call 09066364589
ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",0,122,today song dedicated day song dedicate send ur valuable frnds first rply
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",1,159,urgent ur awarded complimentary trip eurodisinc trav aco entry41 1000 claim txt dis 87121 18+6 1.50 morefrmmob shracomorsglsuplt 10 ls1 3aj
spam,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",1,78,hear new divorce barbie comes ken stuff
ham,I plane to give on this month end.,0,34,plane give month end
ham,Wah lucky man... Then can save money... Hee...,0,46,wah lucky man save money hee
ham,Finished class where are you.,0,29,finished class
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,0,45,hi babe im home wan na something xx
ham,K..k:)where are you?how did you performed?,0,42,performed
ham,U can call me now...,0,20,call
ham,I am waiting machan. Call me once you free.,0,43,waiting machan call free
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,0,73,thats cool gentleman treat dignity respect
ham,I like you peoples very much:) but am very shy pa.,0,50,like peoples much shy pa
ham,Does not operate after  &lt;#&gt;  or what,0,42,operate lt gt
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,0,76,still looking job much ta earn
ham,"Sorry, I'll call later",0,22,sorry call later
ham,K. Did you call me just now ah? ,0,32,call ah
ham,Ok i am on the way to home hi hi,0,32,ok way home hi hi
ham,You will be in the place of that man,0,36,place man
ham,Yup next stop.,0,14,yup next stop
